"Arable crops";"Periods";"Regions";"Area under cultivation (ha)";"Harvested area (ha)";"Gross yield per ha (1 000 kg)";"Gross yield, total (1 000 kg)"
"Wheat (total)";"2000";"Nederland";"  136686";"  136072";"     8.4";" 1142695"
"Wheat (total)";"2022";"Nederland";"  124348";"  123788";"     9.6";" 1190494"
"Wheat (total)";"2023*";"Nederland";"  130458";"";"";""
"Wheat, winter";"2000";"Nederland";"  120510";"  119929";"     8.6";" 1032342"
"Wheat, winter";"2022";"Nederland";"  108321";"  107813";"     9.9";" 1070050"
"Wheat, winter";"2023*";"Nederland";"  121661";"";"";""
"Wheat, spring";"2000";"Nederland";"   16176";"   16143";"     6.8";"  110354"
"Wheat, spring";"2022";"Nederland";"   16027";"   15975";"     7.5";"  120445"
"Wheat, spring";"2023*";"Nederland";"    8798";"";"";""
"Barley, winter";"2000";"Nederland";"    3635";"    3630";"     5.8";"   20876"
"Barley, winter";"2022";"Nederland";"   10552";"   10508";"     8.9";"   93199"
"Barley, winter";"2023*";"Nederland";"   15018";"";"";""
"Barley, spring";"2000";"Nederland";"   43537";"   43391";"     6.2";"  266967"
"Barley, spring";"2022";"Nederland";"   26306";"   26017";"     7.6";"  196757"
"Barley, spring";"2023*";"Nederland";"   20656";"";"";""
"Rye";"2000";"Nederland";"    5961";"    5850";"     5.0";"   29033"
"Rye";"2022";"Nederland";"    2288";"    2223";"     4.2";"    9234"
"Rye";"2023*";"Nederland";"    2312";"";"";""
"Oats";"2000";"Nederland";"    2404";"    2366";"     5.6";"   13315"
"Oats";"2022";"Nederland";"    1494";"    1471";"     6.0";"    8792"
"Oats";"2023*";"Nederland";"    1633";"";"";""
"Triticale";"2000";"Nederland";"    6646";"    6609";"     5.4";"   36009"
"Triticale";"2022";"Nederland";"    1278";"    1274";"     5.4";"    6865"
"Triticale";"2023*";"Nederland";"    1462";"";"";""
"Grain maize";"2000";"Nederland";"   20298";"   20298";"    16.9";"  343505"
"Grain maize";"2022";"Nederland";"   13742";"   13642";"    12.1";"  164857"
"Grain maize";"2023*";"Nederland";"   10126";"";"";""
"Green maize";"2000";"Nederland";"  205321";"  205321";"    39.7";" 8154177"
"Green maize";"2022";"Nederland";"  183274";"  182803";"    45.0";" 8230047"
"Green maize";"2023*";"Nederland";"  179896";"";"";""
"Maize, corn cob mix";"2000";"Nederland";"    7219";"    7219";"    18.5";"  133274"
"Maize, corn cob mix";"2022";"Nederland";"    6582";"    6488";"    11.2";"   72529"
"Maize, corn cob mix";"2023*";"Nederland";"    5975";"";"";""
"Kidney beans";"2000";"Nederland";"    1126";"    1126";"     2.8";"    3153"
"Kidney beans";"2022";"Nederland";"    1199";"    1199";"     2.3";"    2759"
"Kidney beans";"2023*";"Nederland";"    1659";"";"";""
"Turnip rape (total)";"2000";"Nederland";"     854";"     853";"     3.4";"    2907"
"Turnip rape (total)";"2022";"Nederland";"    1612";"    1499";"     4.4";"    6649"
"Turnip rape (total)";"2023*";"Nederland";"    2078";"";"";""
"Fibre flax";"2000";"Nederland";"    4379";"    4379";"     6.1";"   26860"
"Fibre flax";"2022";"Nederland";"    1985";"    1945";"     5.2";"   10114"
"Fibre flax";"2023*";"Nederland";"    2375";"";"";""
"Linseed";"2000";"Nederland";"    4379";"    4373";"     0.9";"    4000"
"Linseed";"2022";"Nederland";"    1985";"    1945";"     1.0";"    1945"
"Linseed";"2023*";"Nederland";"    2375";"";"";""
"Chicory";"2000";"Nederland";"    4756";"    4124";"    44.7";"  184431"
"Chicory";"2022";"Nederland";"    3514";"    3435";"    42.1";"  144788"
"Chicory";"2023*";"Nederland";"    2724";"";"";""
"Hemp";"2000";"Nederland";"     792";"     792";"     5.9";"    4651"
"Hemp";"2022";"Nederland";"    1684";"    1684";"     8.4";"   14142"
"Hemp";"2023*";"Nederland";"    1977";"";"";""
"Potatoes (total)";"2000";"Nederland";"  180200";"  174929";"    46.5";" 8126799"
"Potatoes (total)";"2022";"Nederland";"  163058";"  162279";"    42.6";" 6915875"
"Potatoes (total)";"2023*";"Nederland";"  158077";"";"";""
"Ware potatoes (total)";"2000";"Nederland";"   87439";"   84044";"    53.1";" 4465429"
"Ware potatoes (total)";"2022";"Nederland";"   76595";"   75881";"    47.1";" 3577193"
"Ware potatoes (total)";"2023*";"Nederland";"   75484";"";"";""
"Ware potatoes on clay soil";"2000";"Nederland";"   61809";"   59463";"    53.2";" 3165512"
"Ware potatoes on clay soil";"2022";"Nederland";"       .";"";"";""
"Ware potatoes on clay soil";"2023*";"Nederland";"       .";"";"";""
"Ware potatoes on sandy or peat soil";"2000";"Nederland";"   25632";"   24580";"    52.9";" 1299914"
"Ware potatoes on sandy or peat soil";"2022";"Nederland";"       .";"";"";""
"Ware potatoes on sandy or peat soil";"2023*";"Nederland";"       .";"";"";""
"Seed potatoes (total)";"2000";"Nederland";"   41801";"   41509";"    36.0";" 1495767"
"Seed potatoes (total)";"2022";"Nederland";"   43157";"   43092";"    37.0";" 1593443"
"Seed potatoes (total)";"2023*";"Nederland";"   40064";"";"";""
"Seed potatoes on clay soil";"2000";"Nederland";"   34706";"   34458";"    36.8";" 1268852"
"Seed potatoes on clay soil";"2022";"Nederland";"       .";"";"";""
"Seed potatoes on clay soil";"2023*";"Nederland";"       .";"";"";""
"Seed potatoes on sandy or peat soil";"2000";"Nederland";"    7096";"    7052";"    32.2";"  226914"
"Seed potatoes on sandy or peat soil";"2022";"Nederland";"       .";"";"";""
"Seed potatoes on sandy or peat soil";"2023*";"Nederland";"       .";"";"";""
"Starch potatoes";"2000";"Nederland";"   50958";"   49376";"    43.9";" 2165606"
"Starch potatoes";"2022";"Nederland";"   43306";"   43306";"    40.3";" 1745240"
"Starch potatoes";"2023*";"Nederland";"   42529";"";"";""
"Sugar beet";"2000";"Nederland";"  110998";"  109714";"    61.3";" 6727494"
"Sugar beet";"2022";"Nederland";"   81744";"   81751";"    88.8";" 7256560"
"Sugar beet";"2023*";"Nederland";"   80634";"";"";""
"Seed onions (total)";"2000";"Nederland";"   13988";"   13244";"    62.0";"  821022"
"Seed onions (total)";"2022";"Nederland";"   27421";"   27277";"    44.5";" 1214792"
"Seed onions (total)";"2023*";"Nederland";"   29265";"";"";""
"Seed onions: yellow";"2000";"Nederland";"       .";"";"";""
"Seed onions: yellow";"2022";"Nederland";"   22511";"   22370";"    45.5";" 1018407"
"Seed onions: yellow";"2023*";"Nederland";"   25570";"";"";""
"Seed onion: red";"2000";"Nederland";"       .";"";"";""
"Seed onion: red";"2022";"Nederland";"    4910";"    4907";"    40.0";"  196385"
"Seed onion: red";"2023*";"Nederland";"    3695";"";"";""
"Seed onions (exc. loss)";"2000";"Nederland";"   13988";"   13244";"    60.0";"  788483"
"Seed onions (exc. loss)";"2022";"Nederland";"       .";"";"";""
"Seed onions (exc. loss)";"2023*";"Nederland";"       .";"";"";""
"Onion sets (2nd year)";"2000";"Nederland";"       .";"";"";""
"Onion sets (2nd year)";"2022";"Nederland";"    5784";"    5776";"    46.3";"  267649"
"Onion sets (2nd year)";"2023*";"Nederland";"    5480";"";"";""
